practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,key_resp_5.keys,key_resp_5.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_13,IRI_FL_13,space_13,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,IRI_20,IRI_FL_20,space_20,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,participant,session,group,level,date,expName,frameRate,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,1,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5566144370241091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,1,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5565795949660242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,1,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5185150199686177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,1,4,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5860854320344515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,1,5,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4070043579558842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5057244999916293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,1,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.4879412149894051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5225485769915394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.43485652696108446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,4,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4064685379853472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,5,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.43524307798361406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,0,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4055463649565354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,1,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.3564712799852714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,2,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4376262699952349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,3,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5363713969709352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,4,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.7398984570172615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,5,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.4226301549933851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,23.601326834992506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.624768114008475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.0091122700250708,1.377766520017758,1.3556349520222284,1.377766520017758,0.7500229849829338,0.7227658799965866,2.127789505000692,0.4010181550402194,0.37199577799765393,2.5288076600409113,0.418209797993768,0.3882784050074406,2.9470174580346793,0.46783162996871397,0.43459315301151946,3.4148490880033933,0.4001613220316358,0.37076189601793885,3.815010410035029,0.40184440999291837,0.3693312000250444,4.216854820027947,0.3680630730232224,0.3230694599915296,4.58491789305117,0.3842445269692689,0.3561587100266479,4.969162420020439,0.3339188600075431,0.30404568795347586,5.303081280027982,0.3845475949929096,0.3562804840039462,5.687628875020891,0.5016651150071993,0.4723123520379886,6.189293990028091,0.35000353498617187,0.32165537297260016,6.539297525014263,f,1,2.611738512001466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1453772530076094,1.1327819600119255,1.1453772530076094,0.7521678369957954,0.7227338050142862,1.8975450900034048,0.5840748779592104,0.5549649180029519,2.481619967962615,0.568640117009636,0.5397294400027022,3.050260084972251,0.48454853502335027,0.455046062998008,3.5348086199956015,0.41743102099280804,0.3884449179749936,3.9522396409884095,,,,,,,,,,,,,,,,,,,,,,f,1,1.5774043580167927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6767120620352216,0.6601292719715275,0.6767120620352216,0.40208229300333187,0.3853446069988422,1.0787943550385535,0.36801361496327445,0.338944487972185,1.446807970001828,0.4006677269935608,0.3721547480090521,1.8474756969953887,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,1.6757591479690745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8458321919897571,0.8353943849797361,0.8458321919897571,0.4848760830354877,0.4556232169852592,1.3307082750252448,0.4339890749542974,0.4054631399922073,1.7646973499795422,0.3347411670256406,0.30138967698439956,2.099438517005183,0.30031220498494804,0.26993885304545984,2.399750721990131,0.31766625301679596,0.28869372798362747,2.717416975006927,0.35117787501076236,0.322278389998246,3.068594850017689,0.31618955498561263,0.2833441580296494,3.384784405003302,0.4188104149652645,0.3851398630067706,3.8035948199685663,0.40153741504764184,0.37240439001470804,4.205132235016208,0.3674301249557175,0.3389627850265242,4.572562359971926,0.40141428500646725,0.3727931029861793,4.973976644978393,0.4008326019975357,0.37273479998111725,5.3748092469759285,j,1,3.5641779230209067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.697557572973892,1.6727663690107875,1.697557572973892,0.7024221569881774,0.6688077350263484,2.3999797299620695,0.3173069680342451,0.28406347800046206,2.7172866979963146,0.38469608197920024,0.3562682530027814,3.101982779975515,0.4329131940030493,0.40016974200261757,3.534895973978564,0.3688900179695338,0.33910022594500333,3.903785991948098,0.30056010105181485,0.2719607549952343,4.204346092999913,0.33491714496631175,0.3056143950088881,4.5392632379662246,0.5512811469961889,0.5237749020452611,5.0905443849624135,0.384344769991003,0.3552763679763302,5.474889154953416,0.4344366129953414,0.40243849001126364,5.909325767948758,0.3839815550018102,0.3553812879836187,6.293307322950568,0.38372890604659915,0.355067940952722,6.677036228997167,f,1,1.525455497961957,0.33525197400012985,0.30683655897155404,7.012288202997297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7609488519956358,0.7513173620100133,0.7609488519956358,0.43510703300125897,0.40601781697478145,1.1960558849968947,0.3002600200125016,0.2722577899694443,1.4963159050093964,0.28398813703097403,0.25524061504984275,1.7803040420403704,0.30066818796331063,0.27225705300224945,2.080972230003681,0.33457135199569166,0.30502313998294994,2.4155435819993727,0.3845557580352761,0.35545675305183977,2.8000993400346488,0.3165645519620739,0.28760967997368425,3.1166638919967227,0.30208350304747,0.2714075459516607,3.4187473950441927,0.3840076219639741,0.3551060300087556,3.8027550170081668,0.3512317099957727,0.32239642197964713,4.1539867270039394,0.3667488030041568,0.33829248504480347,4.520735530008096,0.20066365197999403,0.17110347497509792,4.72139918198809,j,1,2.1437394869863056,0.6190631880308501,0.589985019993037,5.34046237001894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.803819446999114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,1,2,2018_Oct_04_1542,Dissertation,59.88922004428605,
