practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,key_resp_5.keys,key_resp_5.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_13,IRI_FL_13,space_13,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,key_resp_2.keys,key_resp_4.keys,IRI_19,IRI_FL_19,space_19,key_resp_4.rt,IRI_20,IRI_FL_20,space_20,rest_keyresponse.keys,rest_keyresponse.rt,participant,session,group,level,date,expName,frameRate,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,1,3,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.47273262502858415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,1,4,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.47327620699070394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,1,5,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.5041927429847419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.47225501999491826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.43920076498761773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5078121359692886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.4401670030201785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,4,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.4359023399883881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,5,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4704917570343241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,0,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.47046710399445146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,1,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.4543858020333573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,2,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.45553227298660204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,3,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.4250424890196882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,4,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5393701649736613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,5,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.7554133310331963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.806919174967334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.904224973986857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
congruent_left,f,1,This is an example of the sentences you will see throughout the study,You just saw an example of a stimulus.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4353043499868363,3.7944687040289864,3.778653747984208,3.7944687040289864,1.9893730799667537,1.9560255000251345,5.78384178399574,1.1866075600264594,1.1543790000141598,6.9704493440221995,1.036535641993396,0.992372857988812,8.006984986015595,1.0192764200037345,0.9698044729884714,9.02626140601933,0.701670694979839,0.6736561420257203,9.727932100999169,0.6517015930148773,0.6225401179981418,10.379633694014046,0.8007841169601306,0.7710127939935774,11.180417810974177,0.6530844300286844,0.6247497739968821,11.833502241002861,0.6337900980142877,0.6017303900443949,12.467292339017149,0.6361959769856185,0.6069713770411909,13.103488316002768,0.6173250779975206,0.5890945949940942,13.720813394000288,0.602653254987672,0.5727455100277439,14.32346664898796,f,1,3.7143751370022073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
congruent_right,j,1,Sometimes the sentences will be longer,Some sentences are long.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.658802015997935,1.6467322860262357,1.658802015997935,0.619231564051006,0.5916449590004049,2.278033580048941,0.6012567909783684,0.5683110380196013,2.8792903710273094,0.5524946869700216,0.5241298950277269,3.431785057997331,0.6001178710139357,0.5710192489787005,4.031902929011267,0.5692884440068156,0.5407817629748024,4.601191373018082,,,,,,,,,,,,,,,,,,,,,,f,1,1.0551942290039733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
incongruent_left,f,0,Sometimes they'll be short,All sentences are the same.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6978502330021001,0.6947187159676105,0.6978502330021001,0.5680584069923498,0.538631672039628,1.26590863999445,0.5511738079949282,0.5220369980088435,1.8170824479893781,0.5685697320150211,0.5391699229949154,2.3856521800043993,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,1.523825085023418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
incongruent_right,j,0,Your task is to read the sentence in the most natural way possible,You don't have to pay attention to the sentence.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7633820719784126,0.7507024230435491,0.7633820719784126,1.0034326080349274,1.0063787539838813,1.76681468001334,0.600014466966968,0.48829666496021673,2.366829146980308,0.46871828503208235,0.41738673800136894,2.8355474320123903,0.400743815000169,0.3720978450146504,3.2362912470125593,0.6189635289483704,0.5722010990139097,3.8552547759609297,0.5515678740339354,0.5227243949775584,4.406822649994865,0.5850141060072929,0.5365027909865603,4.991836756002158,0.5000768050085753,0.47427696303930134,5.491913561010733,0.519260355969891,0.4662087769829668,6.011173916980624,0.5505426860181615,0.521125522966031,6.561716602998786,0.5011430319864303,0.4714924219879322,7.062859634985216,0.46823201299412176,0.4376597549999133,7.531091647979338,j,1,1.942316280968953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
single_left,f,0,The questions that follow each sentence sometimes will be obvious and sometimes more difficult ,The difficulty of each sentence varies.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7930909709539264,0.7698260400211439,0.7930909709539264,0.4173440739978105,0.38789277500472963,1.210435044951737,0.4528301460086368,0.4072799470159225,1.6632651909603737,0.6848824030021206,0.6408827490522526,2.3481475939624943,0.5509842920000665,0.5074830059893429,2.8991318859625608,0.5839719580253586,0.5372293450054713,3.4831038439879194,0.6350690230028704,0.5877074110321701,4.11817286699079,0.6523839199799113,0.6056833799812011,4.770556786970701,0.6695138090290129,0.6306590180029161,5.440070595999714,0.5011280199978501,0.4556348799960688,5.941198615997564,0.46751133300131187,0.4396542980102822,6.408709948998876,0.4681621749768965,0.43469070497667417,6.876872123975772,0.4505175619851798,0.4014179880032316,7.327389685960952,f,1,1.4244012070121244,0.3846792100230232,0.338621663977392,7.712068895983975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
single_right,j,0,It's no problem if you need to guess the answer from time to time,It's important that you don't guess.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7822653050534427,1.771519202971831,1.7822653050534427,0.5333644609781913,0.50494182104012,2.315629766031634,0.6517834520200267,0.6230812050052918,2.967413218051661,0.5847155719529837,0.554089401033707,3.5521287900046445,0.5855785000021569,0.5566031960188411,4.1377072900068015,0.5684596479986794,0.5228947380091995,4.706166938005481,0.5170781000051647,0.48815536504844204,5.223245038010646,0.4346678950241767,0.4046576760010794,5.657912933034822,0.4509871869813651,0.42085499298991635,6.108900120016187,0.401451890997123,0.3713309270096943,6.51035201101331,0.4021487790159881,0.37290218396810815,6.9125007900292985,0.4346883600228466,0.4057577319908887,7.347189150052145,0.36758795799687505,0.3386569329886697,7.71477710804902,j,1,1.838197509991005,0.38441802200395614,0.3556768100243062,8.099195130052976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,50.94856177800102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,3,2,2018_Oct_04_1120,Dissertation,59.49359316166042,
