practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,key_resp_5.keys,key_resp_5.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,IRI_13,IRI_FL_13,space_13,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,IRI_20,IRI_FL_20,space_20,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,key_resp_2.rt,session,participant,level,frameRate,expName,date,group,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.6115608215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,29.8512039185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
congruent_left,f,1,Este es un ejemplo de las frases que verás a lo largo del experimento,Viste un ejemplo de una oración estimulo.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.8532118797,1.13489198685,1.03860783577,1.13489198685,0.434789180756,0.338474035263,1.5696811676,0.517967939377,0.451474905014,2.08764910698,0.433804035187,0.388206958771,2.52145314217,0.467948913574,0.370999097824,2.98940205574,0.469269990921,0.373483896255,3.45867204666,0.451716899872,0.373095035553,3.91038894653,0.51793217659,0.456727027893,4.42832112312,0.500938892365,0.440788030624,4.92926001549,0.600870132446,0.52103304863,5.53013014793,0.484529018402,0.420368909836,6.01465916634,0.451384782791,0.388872146606,6.46604394913,0.43603014946,0.368571996689,6.90207409859,0.384100914001,0.322202920914,7.28617501259,f,1,3.88159608841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
congruent_right,j,1,A veces las oraciones serán muy largas,Algunas frases son largas.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.910976886749,0.889567136765,0.910976886749,0.403182029724,0.355602025986,1.31415891647,0.316867113113,0.272676944733,1.63102602959,0.401422977448,0.352687120438,2.03244900703,0.399649858475,0.349765062332,2.43209886551,0.452659130096,0.422966957092,2.88475799561,0.617351055145,0.57225394249,3.50210905075,,,,,,,,,,,,,,,,,,,,,,f,1,0.455343961716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
incongruent_left,f,0,A veces serán más cortas,Todas las frases son iguales.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46425914764,1.44939804077,1.46425914764,0.383543014526,0.353627920151,1.84780216217,0.418527841568,0.388304948807,2.26633000374,0.3683822155,0.334963083267,2.63471221924,0.383855819702,0.356296062469,3.01856803894,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,2.10807085037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
incongruent_right,j,0,Tu tarea es leer la frase de la manera más natural posible,No tienes que prestarle atención a la oración.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747385025024,0.699150800705,0.747385025024,0.418888092041,0.37327003479,1.16627311707,0.415982961655,0.370281934738,1.58225607872,0.40237402916,0.355005979538,1.98463010788,0.401496887207,0.351337909698,2.38612699509,0.399743080139,0.353682041168,2.78587007523,0.367735862732,0.287925004959,3.15360593796,0.417331218719,0.338196992874,3.57093715668,0.351298809052,0.270437002182,3.92223596573,0.384469985962,0.304149150848,4.30670595169,0.350633144379,0.300983905792,4.65733909607,0.402114868164,0.356010913849,5.05945396423,,,,,,,f,0,5.3207359314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
single_left,f,0,Las preguntas que siguen cada oración a veces serán obvias y a veces serán más difíciles,La dificultad de cada pregunta varía.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.743768930435,0.687116861343,0.743768930435,0.385225057602,0.321696996689,1.12899398804,0.366595983505,0.300184965134,1.49558997154,0.418156862259,0.354893922806,1.9137468338,0.401393175125,0.338083982468,2.31514000893,0.351171970367,0.288009881973,2.66631197929,0.416918992996,0.355503082275,3.08323097229,0.485913038254,0.389364004135,3.56914401054,0.39904499054,0.335253953934,3.96818900108,0.436486005783,0.338057041168,4.40467500687,0.417857885361,0.354831933975,4.82253289223,0.384027004242,0.322030067444,5.20655989647,0.384526014328,0.305624961853,5.5910859108,0.399988889694,0.33792591095,5.99107480049,f,1,1.55934214592,0.3508040905,0.270694971085,6.34187889099,0.36772108078,0.304661989212,6.70959997177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
single_right,j,0,No pasa nada si tienes que adivinar la respuesta de vez en cuando,Es importante que no adivines.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494626998901,0.456159114838,0.494626998901,0.384422063828,0.323061943054,0.879049062729,0.368118047714,0.30557513237,1.24716711044,0.384140968323,0.322911977768,1.63130807877,0.366722106934,0.318820953369,1.9980301857,0.352304935455,0.289836168289,2.35033512115,0.366909980774,0.30401802063,2.71724510193,0.417117118835,0.371607065201,3.13436222076,0.335343837738,0.255696058273,3.4697060585,0.366002082825,0.318598985672,3.83570814133,0.368604898453,0.320611953735,4.20431303978,0.402044057846,0.338578939438,4.60635709763,0.401221036911,0.338671922684,5.00757813454,,,,j,1,4.38183784485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,44.9942629337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
