practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,IRI_13,IRI_FL_13,space_13,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,IRI_20,IRI_FL_20,space_20,session,participant,level,frameRate,expName,date,group,
single_left,f,0,Las preguntas que siguen cada oración a veces serán obvias y a veces serán más difíciles,La dificultad de cada pregunta varía.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,2,3,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.322309017181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
incongruent_left,f,0,A veces serán más cortas,Todas las frases son iguales.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.449604034424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
incongruent_right,j,0,Tu tarea es leer la frase de la manera más natural posible,No tienes que prestarle atención a la oración.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,2,5,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.406400918961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
single_left,f,0,Las preguntas que siguen cada oración a veces serán obvias y a veces serán más difíciles,La dificultad de cada pregunta varía.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,0,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.588390111923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
single_right,j,0,No pasa nada si tienes que adivinar la respuesta de vez en cuando,Es importante que no adivines.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,1,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.423213005066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
incongruent_left,f,0,A veces serán más cortas,Todas las frases son iguales.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,2,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.455699920654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
congruent_right,j,1,A veces las oraciones serán muy largas,Algunas frases son largas.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,3,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.384371042252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
incongruent_right,j,0,Tu tarea es leer la frase de la manera más natural posible,No tienes que prestarle atención a la oración.,Verdadero,Falso,j,practice,,,,,,,,,,,0,0,0,0,3,4,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.488310098648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
congruent_left,f,1,Este es un ejemplo de las frases que verás a lo largo del experimento,Viste un ejemplo de una oración estimulo.,Verdadero,Falso,f,practice,,,,,,,,,,,0,0,0,0,3,5,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.372163057327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,88.1798489094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
congruent_left,f,1,Este es un ejemplo de las frases que verás a lo largo del experimento,Viste un ejemplo de una oración estimulo.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.8094379902,1.85478901863,1.7773308754,1.85478901863,0.819457054138,0.755628824234,2.67424607277,0.700016975403,0.632771015167,3.37426304817,0.921550989151,0.857328891754,4.29581403732,0.55122089386,0.491210222244,4.84703493118,0.484622955322,0.418533086777,5.33165788651,0.450809001923,0.385941982269,5.78246688843,0.600475072861,0.536989927292,6.38294196129,0.436101913452,0.367609977722,6.81904387474,0.434828996658,0.373420953751,7.2538728714,0.417530059814,0.354892969131,7.67140293121,0.417642116547,0.353905916214,8.08904504776,0.467892885208,0.407112121582,8.55693793297,0.367426156998,0.306332111359,8.92436408997,f,1,4.21278905869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
congruent_right,j,1,A veces las oraciones serán muy largas,Algunas frases son largas.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20143389702,1.17529702187,1.20143389702,0.400968074799,0.35505604744,1.60240197182,0.449203968048,0.39993596077,2.05160593987,0.319266080856,0.284490823746,2.37087202072,0.317636966705,0.271898984909,2.68850898743,0.434757947922,0.384361028671,3.12326693535,0.317589044571,0.270990848541,3.44085597992,,,,,,,,,,,,,,,,,,,,,,f,1,2.12864303589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
incongruent_left,f,0,A veces serán más cortas,Todas las frases son iguales.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04682302475,1.0272359848,1.04682302475,0.399892091751,0.371794939041,1.4467151165,0.56903386116,0.539224147797,2.01574897766,0.316665172577,0.26988196373,2.33241415024,0.385284900665,0.356396913528,2.7176990509,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,2.01024699211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
incongruent_right,j,0,Tu tarea es leer la frase de la manera más natural posible,No tienes que prestarle atención a la oración.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96265411377,0.930437088013,0.96265411377,0.468241930008,0.422702074051,1.43089604378,0.517452001572,0.455708026886,1.94834804535,0.284250020981,0.240157842636,2.23259806633,0.434504032135,0.355776071548,2.66710209846,0.401232004166,0.355827093124,3.06833410263,0.568133831024,0.505111932755,3.63646793365,0.518213033676,0.469051122665,4.15468096733,0.417041063309,0.373161077499,4.57172203064,0.635725975037,0.572764873505,5.20744800568,0.334280967712,0.271904945374,5.54172897339,0.46742105484,0.406536102295,6.00915002823,,,,,,,j,1,3.17970108986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
single_left,f,0,Las preguntas que siguen cada oración a veces serán obvias y a veces serán más difíciles,La dificultad de cada pregunta varía.,Verdadero,Falso,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.812967061996,0.762068986893,0.812967061996,0.466860055923,0.406584024429,1.27982711792,0.535296916962,0.472450971603,1.81512403488,0.43447303772,0.353667974472,2.2495970726,0.518449068069,0.436222791672,2.76804614067,0.399142026901,0.318125009537,3.16718816757,0.352293014526,0.287757873535,3.5194811821,0.417621850967,0.354950904846,3.93710303307,0.768975019455,0.706053972244,4.70607805252,0.699865102768,0.619238853455,5.40594315529,0.469205856323,0.400917053223,5.87514901161,0.485293149948,0.418807983398,6.36044216156,0.434370994568,0.351760864258,6.79481315613,0.401552915573,0.339198112488,7.1963660717,f,1,1.90981316566,0.417194128036,0.356038093567,7.61356019974,0.735818862915,0.655975103378,8.34937906265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
single_right,j,0,No pasa nada si tienes que adivinar la respuesta de vez en cuando,Es importante que no adivines.,Verdadero,Falso,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86270904541,0.822690963745,0.86270904541,0.48451590538,0.421914100647,1.34722495079,0.449928045273,0.387283086777,1.79715299606,0.335417032242,0.271841049194,2.13257002831,0.41646695137,0.337232112885,2.54903697968,0.484624862671,0.405903100967,3.03366184235,0.368806123734,0.287976026535,3.40246796608,0.351146936417,0.289077997208,3.7536149025,0.684920072556,0.623899936676,4.43853497505,0.68533706665,0.606561899185,5.1238720417,0.384673833847,0.322850942612,5.50854587555,0.400508165359,0.321391105652,5.90905404091,0.685429811478,0.62264084816,6.59448385239,,,,j,1,1.92178106308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,65.2415540218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
,,None,,,Verdadero,Falso,f,None,congruent_right,Me gusta vivir en la ciudad de Washington porque tiene mucha historia,None,None,None,None,j,None,None,Estoy contento viviendo en D.C.,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,0.786684036255,0.741826057434,0.786684036255,0.417747020721,0.355158090591,1.20443105698,0.40149307251,0.339354038239,1.60592412949,0.384619951248,0.305003881454,1.99054408073,0.315570831299,0.250092029572,2.30611491203,0.385527133942,0.338181018829,2.69164204597,0.317584037781,0.255328178406,3.00922608376,0.317551851273,0.255816936493,3.32677793503,0.434358119965,0.338593006134,3.76113605499,0.332692861557,0.268481969833,4.09382891655,0.250843048096,0.170311927795,4.34467196465,0.45339512825,0.369364976883,4.7980670929,,,,,,,,,,,,,,,,,,space,4.33504915237,j,1,0.972877025604,f,1,4.8329911232,None,,,,,,,,,,,,,,,,,,,,,,,1,2,4,60.061145088560146,Dissertation,2018_Jul_18_1902,2,
