practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_13,IRI_FL_13,space_13,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,IRI_20,IRI_FL_20,space_20,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,session,participant,level,frameRate,expName,date,group,
incongruent_right,j,0,Yellow practice,Yellow,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,2,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.618505954742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_left,f,0,Green practice,Green,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,2,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.572183132172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_right,j,0,White practice,wite,yes,No,f,practice,,,,,,,,,,,0,0,0,0,2,3,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.439476966858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_right,j,1,Orange practice,Orange,No,Yes,j,practice,,,,,,,,,,,0,0,0,0,2,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.586147069931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_left,f,1,Red practice,Red,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,2,5,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.439249038696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_right,j,0,Yellow practice,Yellow,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,3,0,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.431692123413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_right,j,0,White practice,wite,yes,No,f,practice,,,,,,,,,,,0,0,0,0,3,1,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.504415035248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_left,f,1,Red practice,Red,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,3,2,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.486882925034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_left,f,0,Green practice,Green,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,3,3,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.620697021484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_right,j,1,Orange practice,Orange,No,Yes,j,practice,,,,,,,,,,,0,0,0,0,3,4,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.449774026871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_left,f,0,Blue,Blue,Yes,No,f,practice,,,,,,,,,,,0,0,0,0,3,5,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.469587802887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,62.5496370792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_left,f,1,Red practice,Red,Yes,No,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.23998618126,3.71257781982,3.54559898376,3.71257781982,1.73802614212,1.7089009285,5.45060396194,f,1,2.0944480896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_left,f,0,Green practice,Green,Yes,No,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21139597893,2.1994509697,2.21139597893,0.670071125031,0.638870000839,2.88146710396,f,1,0.852902173996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_right,j,0,White practice,wite,yes,No,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.715669870377,0.706404924393,0.715669870377,0.484789133072,0.434719085693,1.20045900345,f,1,4.26610708237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
incongruent_right,j,0,Yellow practice,Yellow,Yes,No,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18649411201,3.17571806908,3.18649411201,0.500977993011,0.472560882568,3.68747210503,f,1,1.5226662159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
single_left,f,0,Blue,Blue,Yes,No,f,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53383088112,1.53071904182,1.53383088112,,,,f,1,0.969727993011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
congruent_right,j,1,Orange practice,Orange,No,Yes,j,practice,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41910004616,1.41315197945,1.41910004616,0.315924882889,0.271242856979,1.73502492905,j,1,2.45754504204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,43.5727858543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,None,,,Verdadero,Falso,j,None,incongruent_left,Mi estación preferida es el verano,None,None,None,None,f,None,None,Me gusta el invierno más que las otras estaciones.,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.03210186958,0.996338129044,1.03210186958,0.449340105057,0.402706861496,1.48144197464,,,,,,space,7.79015493393,f,1,1.25728917122,0.569319963455,0.521232843399,2.0507619381,0.575623035431,0.530747890472,2.62638497353,0.40988111496,0.355195045471,3.03626608849,0.467667818069,0.419260025024,3.50393390656,j,1,3.24267601967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,None,,,Verdadero,Falso,f,None,congruent_right,Me gusta vivir en la ciudad de Washington porque tiene mucha historia,None,None,None,None,j,None,None,Estoy contento viviendo en D.C.,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,0.702780008316,0.660606145859,0.702780008316,0.434191226959,0.372918128967,1.13697123528,,,,,,,,j,1,0.920974969864,0.401187896729,0.334625959396,1.538159132,0.551209926605,0.50615811348,2.08936905861,0.485363006592,0.421671152115,2.5747320652,0.384505987167,0.321562051773,2.95923805237,f,1,2.45698690414,None,0.50109910965,0.421267032623,3.46033716202,0.417536020279,0.356877088547,3.8778731823,0.61741399765,0.553276777267,4.49528717995,0.451972007751,0.388119935989,4.9472591877,0.468528032303,0.406469106674,5.41578722,0.467189788818,0.406090021133,5.88297700882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,None,,,Verdadero,Falso,f,None,incongruent_right,Estudio mucho durante la semana para poder divertirme durante el fin de semana,None,None,None,None,j,None,None,No voy a la biblioteca mucho los fines de semana.,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,0.619021892548,0.571557044983,0.619021892548,0.399402141571,0.335366010666,1.01842403412,,,,,,,,j,1,1.0227560997,0.352277040482,0.290059089661,1.3707010746,0.685055971146,0.62247800827,2.05575704575,0.38486790657,0.32047700882,2.44062495232,0.518294095993,0.457052946091,2.95891904831,f,1,3.05967211723,None,0.484210968018,0.407025098801,3.44313001633,0.51846909523,0.456746816635,3.96159911156,0.651642799377,0.573513031006,4.61324191093,0.833883047104,0.751929998398,5.44712495804,0.58411192894,0.519724845886,6.03123688698,0.537131071091,0.470774173737,6.56836795807,0.449784994125,0.369794130325,7.01815295219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,None,,,Verdadero,Falso,j,None,congruent_left,El chico corrió en el parque ayer,None,None,None,None,f,None,None,El chico no hizo nada ayer.,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,0.901207923889,0.846173048019,0.901207923889,0.367969036102,0.320634126663,1.26917695999,,,,,,,,f,1,0.790524959564,0.467715024948,0.422373056412,1.73689198494,0.434731006622,0.385443210602,2.17162299156,0.451259851456,0.420483112335,2.62288284302,0.501071214676,0.45432806015,3.12395405769,j,1,2.25508379936,None,0.519007921219,0.476366996765,3.64296197891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
,,None,,,Verdadero,Falso,j,None,single_left,A Iván le gusta cocinar y toma clases de gastronomía,None,None,None,None,f,None,None,Iván cocina mucho.,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,0.935292959213,0.898907184601,0.935292959213,0.366070985794,0.302243947983,1.30136394501,,,,,,,,f,1,0.602430105209,0.653251886368,0.606108903885,1.95461583138,0.452141046524,0.409215927124,2.4067568779,0.33343911171,0.27202796936,2.74019598961,0.584277868271,0.520205020905,3.32447385788,f,0,2.6554620266,None,0.451729059219,0.406008005142,3.7762029171,0.501041889191,0.454702138901,4.27724480629,0.63552904129,0.574471950531,4.91277384758,0.434438943863,0.368908882141,5.34721279144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,59.31824320979797,Dissertation,2018_Jul_18_1614,1,
